,Unnamed: 0,date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,surface,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment,name,x,y
0,0,2023-08-17,JPN,Mombetsu,11:07,Breeders Gold Cup (Local (3yo+) (Fillies & Mares) (Dirt),Flat,,Grade 3,,3yo+,F & M,1m2f,10f,2000,Standard,AW,5,6.0,1,6,0,0,Teleos Bell (JPN),6,M,123,,2:08.50,128.50,,Teruo Eda,Toshiaki Tajima,195115.81,–,–,Kizuna (JPN),Early Spring (JPN),Kurofune,Mieko Suzuki,,Mombetsu,142.00801180716064,42.53760022904322
1,1,2023-08-17,JPN,Mombetsu,11:07,Breeders Gold Cup (Local (3yo+) (Fillies & Mares) (Dirt),Flat,,Grade 3,,3yo+,F & M,1m2f,10f,2000,Standard,AW,5,2.0,2,2,4,4,Paraiba Tourmaline (USA),3,F,119,,2:09.17,129.17,,Keita Tosaki,Toru Hayashi,54632.43,–,–,Malibu Moon (USA),Private Jet (USA),Smart Strike,Unknown,,Mombetsu,142.00801180716064,42.53760022904322
2,2,2023-08-17,JPN,Mombetsu,11:07,Breeders Gold Cup (Local (3yo+) (Fillies & Mares) (Dirt),Flat,,Grade 3,,3yo+,F & M,1m2f,10f,2000,Standard,AW,5,1.0,3,1,6.5,2.5,Colorful Cube (JPN),4,F,121,,2:09.58,129.58,,Katsuma Sameshima,Tomokazu Takano,40974.32,–,–,Drefong (USA),Colorful Days (JPN),Fuji Kiseki,G1 Racing Co Ltd,,Mombetsu,142.00801180716064,42.53760022904322
3,3,2023-08-17,JPN,Mombetsu,11:07,Breeders Gold Cup (Local (3yo+) (Fillies & Mares) (Dirt),Flat,,Grade 3,,3yo+,F & M,1m2f,10f,2000,Standard,AW,5,7.0,4,7,8.5,2,Pretty Chance (JPN),6,M,126,,2:09.92,129.92,,Akatsuki Tomita,Kenji Nonaka,27316.21,–,–,Symboli Kris S (USA),Future Sunday (JPN),Sunday Silence,Hirosaki Toshihiro Hd Co Ltd,,Mombetsu,142.00801180716064,42.53760022904322
4,4,2023-08-17,JPN,Mombetsu,11:07,Breeders Gold Cup (Local (3yo+) (Fillies & Mares) (Dirt),Flat,,Grade 3,,3yo+,F & M,1m2f,10f,2000,Standard,AW,5,4.0,5,4,11.5,3,Uwasano Shibuko (JPN),5,M,121,,2:10.42,130.42,,Masaaki Kuwamura,Masataka Sakuma,13658.11,–,–,Ill Have Another (USA),Smart Sympathy (JPN),Dance In The Dark,Unknown,,Mombetsu,142.00801180716064,42.53760022904322
5,5,2023-01-29,JPN,Tokyo,06:45,Negishi Stakes (4yo+) (Dirt),Flat,,Grade 3,,4yo+,,7f,7f,1400,Standard,AW,16,13.0,1,13,0,0,Lemon Pop (USA),5,H,126,,1:22.50,82.50,1.6,Keita Tosaki,Hiroyasu Tanaka,255331.07,–,115,Lemon Drop Kid (USA),Unreachable (USA),Giants Causeway,Godolphin,Settled behind leaders - moved up to leaders travelling well 2f out - soon led and a few lengths clear 1f out - ridden entering final furlong - kept on well and always doing enough,Tokyo,139.4860812868083,35.66254653064314
6,6,2023-01-29,JPN,Tokyo,06:45,Negishi Stakes (4yo+) (Dirt),Flat,,Grade 3,,4yo+,,7f,7f,1400,Standard,AW,16,6.0,2,6,.5,.5,Gilded Mirror (JPN),6,M,121,,1:22.58,82.58,5.1,Kosei Miura,Mikio Matsunaga,101724.57,–,109,Orfevre (JPN),Titan Queen (USA),Tiznow,Silk Racing Co Ltd,,Tokyo,139.4860812868083,35.66254653064314
7,7,2023-01-29,JPN,Tokyo,06:45,Negishi Stakes (4yo+) (Dirt),Flat,,Grade 3,,4yo+,,7f,7f,1400,Standard,AW,16,14.0,3,14,1.25,.75,Battle Cry (JPN),4,C,123,,1:22.71,82.71,12.8,Yuga Kawada,Noboru Takagi,63450.4,–,109,Isla Bonita (JPN),Dear Comet (JPN),King Kamehameha,G Riviere Racing Co Ltd,,Tokyo,139.4860812868083,35.66254653064314
8,8,2023-01-29,JPN,Tokyo,06:45,Negishi Stakes (4yo+) (Dirt),Flat,,Grade 3,,4yo+,,7f,7f,1400,Standard,AW,16,10.0,4,10,1.5,0.3,Tagano Beauty (JPN),6,H,126,,1:22.75,82.75,23.4,Shu Ishibashi,Masato Nishizono,37764.35,–,111,Henny Hughes (USA),Special Dinner (JPN),Special Week,Ryoji Yagi,,Tokyo,139.4860812868083,35.66254653064314
9,9,2023-01-29,JPN,Tokyo,06:45,Negishi Stakes (4yo+) (Dirt),Flat,,Grade 3,,4yo+,,7f,7f,1400,Standard,AW,16,15.0,5,15,5,3.5,Air Almas (USA),8,H,126,,1:23.33,83.33,87.0,Takeshi Yokoyama,Manabu Ikezoe,25176.23,–,102,Majestic Warrior (USA),Nokaze (USA),Empire Maker,Lucky Field Co Ltd,,Tokyo,139.4860812868083,35.66254653064314
